,gameid,run_total,venue_name,home_team,away_team,game_date,status,temp,weather_category,division,league
0,244193,5,Citizens Bank Park,Philadelphia Phillies,Atlanta Braves,2009-04-05,Final,60,clear,NL_east,NL
1,244194,6,Minute Maid Park,Houston Astros,Chicago Cubs,2009-04-06,Final,66,roof closed,AL_west,AL
2,244195,10,Rangers Ballpark in Arlington,Texas Rangers,Cleveland Indians,2009-04-06,Final,49,sunny,AL_west,AL
3,244196,17,Chase Field,Arizona Diamondbacks,Colorado Rockies,2009-04-06,Final,80,roof closed,NL_west,NL
4,244197,17,Rogers Centre,Toronto Blue Jays,Detroit Tigers,2009-04-06,Final,68,roof closed,AL_east,AL
5,244199,5,PETCO Park,San Diego Padres,Los Angeles Dodgers,2009-04-06,Final,75,sunny,NL_west,NL
6,244200,15,Oriole Park at Camden Yards,Baltimore Orioles,New York Yankees,2009-04-06,Final,56,overcast,AL_east,AL
7,244201,3,Great American Ball Park,Cincinnati Reds,New York Mets,2009-04-06,Final,37,overcast,NL_central,NL
8,244202,3,Angel Stadium of Anaheim,Los Angeles Angels,Oakland Athletics,2009-04-06,Final,75,clear,AL_west,AL
9,244203,10,Busch Stadium,St. Louis Cardinals,Pittsburgh Pirates,2009-04-06,Final,42,cloudy,NL_central,NL
10,244204,7,Hubert H. Humphrey Metrodome,Minnesota Twins,Seattle Mariners,2009-04-06,Final,69,dome,AL_central,AL
11,244206,18,Land Shark Stadium,Miami Marlins,Washington Nationals,2009-04-06,Final,90,partly cloudy,NL_east,NL
12,244207,5,Minute Maid Park,Houston Astros,Chicago Cubs,2009-04-07,Final,68,clear,AL_west,AL
13,244208,3,Chase Field,Arizona Diamondbacks,Colorado Rockies,2009-04-07,Final,88,clear,NL_west,NL
14,244209,9,Rogers Centre,Toronto Blue Jays,Detroit Tigers,2009-04-07,Final,68,roof closed,AL_east,AL
15,244210,16,AT&T Park,San Francisco Giants,Milwaukee Brewers,2009-04-07,Final,58,overcast,NL_west,NL
16,244211,10,Angel Stadium of Anaheim,Los Angeles Angels,Oakland Athletics,2009-04-07,Final,62,cloudy,AL_west,AL
17,244212,12,Busch Stadium,St. Louis Cardinals,Pittsburgh Pirates,2009-04-07,Final,49,clear,NL_central,NL
18,244213,11,Hubert H. Humphrey Metrodome,Minnesota Twins,Seattle Mariners,2009-04-07,Final,69,dome,AL_central,AL
